review,sentiment,source
1 elevator not working.,negative,hrast
1 euros to park per day on their own premises.,neutral,hrast
1 hour queue to check-in.,negative,hrast
1 min walk to metro entrance and also few min walk to the central station where you can access rail trains.,positive,hrast
"1 minute walk from the main metro & train station, which made getting around copenhagen extremely easy.",positive,hrast
1 person room was little.,negative,hrast
1 stop (3 min ride) away from the airport.,positive,hrast
1 stops right at the hotel.,positive,hrast
10 mins to the historical centre along the river and through the famous mirabell gardens.,positive,hrast
10 mins walk to city or 10 mins bike ride to hip area meat packing district.,positive,hrast
10 minutes from marina and beach.,neutral,hrast
10 minutes walk from the beach.,positive,hrast
100 meters from a private parking.,neutral,hrast
10-12 minutes to the old town / town hall / cathedral.,neutral,hrast
10min walk to the center.,positive,hrast
11 € per day additional parking fees and bad wi-fi.,negative,hrast
11 floor from which you can enjoy a nice view of naples.,positive,hrast
11th floor with bad elevator - extremely dirty - there is no staff - not recommended.,negative,hrast
15 euros a day to park my car.,negative,hrast
15 euros for a very average breakfast.,negative,hrast
15 mins walk will take you to stroget and tivoli.,positive,hrast
15 minutes you were on the beach.,positive,hrast
15€ parking fee per 24 hours in the nearby underground car park.,negative,hrast
15€ parking fee quite expensive.,positive,hrast
15min walking from sants.,positive,hrast
2 beds for a couple are uncomfortable.,negative,hrast
2 days sleeping in a room with a window that could not be closed.,negative,hrast
2 days without air conditioning.,negative,hrast
2 minute walk from any amenities.,positive,hrast
2 minute walk to metro station with direct link to airport.,positive,hrast
"2 minutes walk from la rambla poblenou, which is full of restaurants, bars and shops.",positive,hrast
2 nearby metro stations.,positive,hrast
"2 unclean plastic boxes as additional storage space, an unstable stool as a shelf.",negative,hrast
20 min walk to the main center.,positive,hrast
20 minutes of fast walk to train station.,positive,hrast
"20 minutes on foot to the city center, almost directly at the congress building.",positive,hrast
205 danish crowns per person for breakfast is overly expensive.,negative,hrast
231 euros!!! it's exploited.,negative,hrast
24 hour app worked well for initial entry but hard to re-access the hotel the next day.,negative,hrast
24 hour bar.,positive,hrast
24 hour check in option.,positive,hrast
24 hour shop was right round the corner.,positive,hrast
24/7 reception made it easy to check it when we arrived late and left early.,positive,hrast
24h reception and very friendly staff.,positive,hrast
24h reception is a big plus with bar and some snacks / sandwiches.,positive,hrast
24h reception.,positive,hrast
"24-hour coffee / tea making facility in the breakfast room freely available to guests a real bonus and very much appreciated by us, with a wide variety of choice on how you want the coffee: largo, espresso, latte, with proper frothed milk if so desired, etc, etc, and a good selection of teas.",positive,hrast
24-hour service at the hotel bar!,positive,hrast
24hr front desk for when our flight was very delayed we could check in at 2am.,positive,hrast
"25 min drive from the airport, 20 min walk to the beach and public transit was less than a 5 minute walk away.",positive,hrast
2km away at another hotel.,neutral,hrast
"3 stars can't be, it is only 2 stars poor quality of decoration in the room broken things, dirty walls also there was mold near the window.",negative,hrast
"30 min walk to historical centre with little to no public transport, expensive parking.",negative,hrast
3min train ride to airport terminal.,negative,hrast
4 alcoholic drinks 2 pizzas and a starter.,neutral,hrast
"40 degrees, not even a bottle of water.",negative,hrast
"4th floor, too noisy, everything was heard through the walls, the nights weren’t so comfortable, no quiet.",negative,hrast
5 euros although we parked only for 20 minutes there.,negative,hrast
5 min walk to the train.,positive,hrast
5 min walking distance from city hall.,positive,hrast
5 minutes from the beach and only a 5 minute walk to the metro station or tram station.,positive,hrast
"5 minutes to the mirabell palace/mozart's birthplace, approx.",positive,hrast
5 minutes walk to mirabellplatz - very centrally located.,positive,hrast
"5 of the rooms i had booked (all in the ""hotel"" there are 10), had a strong smell of sewage.",negative,hrast
"5 sqm bathroom was at the upper level and had a shower head and the sealing at 188 cm, so i had to take a shower bend forward in the 1 sqm shower pretty uncomfortable!",negative,hrast
5 time need to change room keys since both didn't work.,negative,hrast
50 eur extra for an omelette.,negative,hrast
50 euro for 2 people was very high.,negative,hrast
50€ per day too much.,negative,hrast
50€ seems excessive to me in naples and it says a neapolitan.,negative,hrast
"5km from where the actual accommodation was, the reception staff were unhelpful & i didn’t appreciate him questioning wether my card was a credit or debit card.",negative,hrast
"5m walk from toledo metro station, so central.",positive,hrast
5th was closer to 3*** and was ok.,negative,hrast
6 minutes from catalonia plaza.,positive,hrast
7 min walk to train and metro station.,positive,hrast
"7 minutes on foot from the main station, approx.",positive,hrast
"7th floor was uncomfortably warm, fan didn’t work in the room.",negative,hrast
8 min walk from metro.,positive,hrast
9mins to copenhagan centre on train.,positive,hrast
"a ""double"" was two singles pushed together, wasn't great as a couple, i fell through the gap between the two mattresses on the first night.",negative,hrast
a 15 min walk to tivoli gardens and main square.,neutral,hrast
a 24-hour reception is also convenient especially as we suddenly ran into a problem with the access card late in the evening and the problem was solved immediately.,positive,hrast
"a 4-star hotel but no ac (in summer it can get very hot), fridge or kettle for tea / coffee in the room.",negative,hrast
a 4-star should have a superior overall quality.,negative,hrast
a bar that doesn't work.,negative,hrast
"a beautiful room with a terrace overlooking the courtyard, so absolute peace.",positive,hrast
a beautiful view from the top roof to the breakfast room.,positive,hrast
a bed  was a bit too small for an adult.,negative,hrast
a big plus is that they offer bikes free of charge for the guests.,positive,hrast
a big window giving on the main street that we could open to get some fresh air in the morning and during night (but noise).,neutral,hrast
a bigger room would have been better.,negative,hrast
a bit basic room.,neutral,hrast
a bit confused policy about the parking.,negative,hrast
a bit dark in the room.,negative,hrast
a bit dirty on the corridor and room.,negative,hrast
a bit dusty and dirty.,negative,hrast
"a bit expensive in general, but okay for salzburg!",neutral,hrast
a bit far a away from city center if walking.,negative,hrast
a bit far away from the center of the city.,negative,hrast
a bit far from centre.,negative,hrast
a bit far from the beach.,negative,hrast
a bit far from the center but quiet.,neutral,hrast
a bit far from the center but subway accessible less than 10 min walk.,neutral,hrast
"a bit far from the center, as soon as you want to move on foot you do not count the kilometers.",negative,hrast
a bit far from the center.,negative,hrast
a bit far from the city centre and the entire area around the hotel is under construction.,negative,hrast
a bit far from the city centre but really really close to the airport and suitable for those having an early flight.,neutral,hrast
"a bit far from train station,  need to take bus.",negative,hrast
a bit further from the center.,negative,hrast
"a bit hard to find at first, but very cool when you knew where to go.",positive,hrast
a bit loud outside at night.,negative,hrast
a bit more emphasis should be placed on cleanliness.,negative,hrast
"a bit noise in friday night, wall is very thin.",negative,hrast
a bit noisy area due to constructions.,negative,hrast
a bit noisy because of the neighbors.,negative,hrast
a bit noisy but that does not stop you from sleeping.,neutral,hrast
a bit noisy due to a lot of people walking past my room on the way to the hotel pool (my room was on the 7th floor).,negative,hrast
a bit noisy in the evening/night.,negative,hrast
a bit noisy in the hallway.,negative,hrast
a bit noisy outside.,negative,hrast
"a bit of a bad reception, faulty locks, not really the best area of naples.",negative,hrast
a bit of a walk to downtown and for some reason our last night parking was cancelled in favor of new guests.,negative,hrast
a bit of dust in our room.,negative,hrast
a bit of noise some mornings.,negative,hrast
a bit old fashioned hotel.,negative,hrast
a bit old hotel / interior.,negative,hrast
a bit outdated interior rooms.,negative,hrast
a bit outdated rooms.,negative,hrast
a bit poorly soundproofed.,negative,hrast
"a bit pricey breakfast, gluten free options were not visible.",negative,hrast
a bit pricy when it comes to breakfast.,negative,hrast
a bit shortage of staff.,negative,hrast
a bit slow on replenishing condiments in the room like tea & milk.,negative,hrast
a bit too far from everything.,negative,hrast
a bit too small room.,negative,hrast
a bit tricky to find the building but it's okay.,negative,hrast
a bit worn out carpets and not possible to activate the cooling system in the room.,negative,hrast
a box containing juice boxes and wrapped bread/ toast is not a breakfast i expect in a hotel.,negative,hrast
a breathtaking view.,positive,hrast
a broken phone in the room.,negative,hrast
a cleaning kit would be a real comfort.,negative,hrast
"a closed kitchen for dinner one of the nights (at 7pm) however, the bar staff saved this by cooking us pizzas - so 10 out of 10 for a great rescue.",positive,hrast
a coffee maker and tea seems the minimum in a room of this standard.,negative,hrast
a comfortable place to stay to begin your salzburg adventure.,positive,hrast
a comfortable place to stay.,positive,hrast
a comfortable seat at reception for arrival.,positive,hrast
a couple of the loungers on the rooftop were broken.,negative,hrast
"a cozy ""living room"" with books, magazines and a fireplace and drinks instead of an anonymous foyer.",positive,hrast
a cozy and very well-kept accommodation.,positive,hrast
a cozy boutique hotel!,positive,hrast
a dear garden with a tortoise.,positive,hrast
a drawback is that the windows cannot be opened and therefore you are dependent on the air conditioning.,negative,hrast
a family of pigeon lives in the small terrace area and since they live exactly next to the pipe from the shower which gets the humidity out you can hear them in any kind of activity with a sound amplification 3 meters from the bed all day long.,negative,hrast
a fan is available but very noisy and not in good condition.,negative,hrast
a few gentlemen at front desk could be more helpful and friendly.,negative,hrast
a few hundred meters from the central station.,positive,hrast
"a few improvements could be made to the room i stayed in, such as making sure the light behind the entrance door works; the shower guard / door works correctly to stop water going across the bathroom floor; the bath tap is fixed against the wall correctly.",negative,hrast
a few lamps didn’t work.,negative,hrast
a few minutes from downtown.,positive,hrast
a few minutes from the center by bus.,positive,hrast
"a few minutes from the central station (bus, metro, train).",positive,hrast
a few minutes from the metro.,positive,hrast
a few more staff helping during busy times of the day would be good.,negative,hrast
a few rooms need update.,negative,hrast
a few steps to the historic center.,positive,hrast
"a few things needing maintenance-pool furniture, room lamps and faucets.",negative,hrast
a fridge in the room and it would be perfect.,negative,hrast
a fridge in the room would be good.,neutral,hrast
a good and functional room.,positive,hrast
a good breakfast and friendly service in the evening in the little bar.,positive,hrast
a good breakfast and nice staff.,positive,hrast
a good choice for those who want an accommodation that's easy to reach from the airport.,positive,hrast
"a good location a short walk from the old town, simple but clean and a good sized room.",positive,hrast
a good location for walking everywhere!,positive,hrast
a good location if you need to walk to the main areas.,positive,hrast
"a good location,buses stop right outside the hotel and it’s only about 10 minutes to the town.",positive,hrast
a good sized room with big bed.,positive,hrast
a good variety of fresh breakfast items available.,positive,hrast
a great bar.,positive,hrast
a great base to be close to everything you need.,positive,hrast
"a great hostel experience, and my first stay in a hostel.",positive,hrast
"a great location to get to lots of bars and restaurants, close to la ramblas but also lots of great places to shop, eat and drink within five minutes walk in born.",positive,hrast
a great location which is not far from the downtown.,positive,hrast
"a great location, very easy to get to from the airport.",positive,hrast
a great not too big hotel in the best location.,positive,hrast
a gym next to the property.,positive,hrast
a hair dryer in the room would be great.,neutral,hrast
a hole in a bathroom door.,negative,hrast
a hotel inside an outdated building with an old and not always available elevator,negative,hrast
a hotel that desperately needs an update.,negative,hrast
a hotel without any staff in the reception and anywhere in the hotel in the point of need.,negative,hrast
a inviting bar at the ground floor.,positive,hrast
a kettle/cups would be a real plus.,negative,hrast
a knock on the door during sleep time to discuss billing was blind and stupid.,negative,hrast
a leaking shower head.,negative,hrast
"a light flickered annoyingly in one room, and the staff did nothing about it even though we told them.",negative,hrast
a little bit annoying to have to check in at another location than the stay.,negative,hrast
a little bit away from old town about 2 km.,negative,hrast
"a little bit difficult with a baby stroller / wagon, as the entry doors are small and also the elevator to go to the hotel on the third floor.",negative,hrast
a little bit further from the city centre than we would normally book.,negative,hrast
a little bit noisy at the morning due to the construction besides the hotel.,negative,hrast
a little bit too far to the nearest metro station.,negative,hrast
a little but uncomfortable bed and pillow and some dust.,negative,hrast
a little dirty and uncomfortable bed.,negative,hrast
"a little disappointed with spa area, i excepted some deckchairs where one could rest, not to spend entire time in the pool or sauna.",negative,hrast
a little disappointed with the pool and breakfast could have more things but the rest was great is a hotel where we could return staff great i liked my trip.,positive,hrast
a little disorganized and some waste of time due to an error with the room that was then only partly resolved.,negative,hrast
a little dusty in room.,negative,hrast
a little far away from central and ramblas.,negative,hrast
a little far from central barcelona and the beaches.,negative,hrast
a little far from centre.,negative,hrast
a little far from main attractions.,negative,hrast
a little far from the city center and over a kilometer from public transport.,negative,hrast
a little far to walk to city but metro links were great.,neutral,hrast
a little more space in the room would have been nice but it's not too much of a problem either.,neutral,hrast
a little more storage space for clothes would be good.,negative,hrast
"a little neglected needs improvements, including cleanliness.",negative,hrast
a little noise in the room from other rooms.,negative,hrast
a little noisy and shower over the bath.,negative,hrast
a little noisy because it faces the side of the road.,negative,hrast
a little noisy but to be expected given the location!,neutral,hrast
a little noisy in the lane outside our window.,negative,hrast
a little noisy on our side of the property.,negative,hrast
a little noisy on weekends in the street.,negative,hrast
a little rough and severe welcome from the lady at the reception on the morning of departure.,negative,hrast
a little smoke smell in the room.,negative,hrast
a little too small room.,negative,hrast
a little work on improving the breakfast and adding the mozzarella to the menu kono we are in the country of mozzarella.,negative,hrast
"a location of a hostel is just amazing, right in the center.",positive,hrast
a lot could have been achieved with little effort (example: wiping once over the shelf in the bathroom).,negative,hrast
a lot of bars and restaurants nearby.,positive,hrast
"a lot of charm, a friendly welcome.",positive,hrast
a lot of drunk girl groups making a lot of noise during the night in the hotel.,negative,hrast
a lot of dust under the bed.,negative,hrast
"a lot of dust, noise and confusion, especially from morning to late afternoon.",negative,hrast
a lot of nice and tasty restaurants in the area so we won't be bored at the end of the day.,positive,hrast
a lot of noise all the time.,negative,hrast
a lot of noise from the outside if you sleep in the front.,negative,hrast
a lot of noise in neighboring rooms.,negative,hrast
