review,sentiment,source
staff service is not good,negative,negation_aug
room service is not good,negative,negation_aug
hotel service is not good,negative,negation_aug
the staff is not good,negative,negation_aug
the room is not good,negative,negation_aug
wifi is not good,negative,negation_aug
service is not great,negative,negation_aug
staff service is not great,negative,negation_aug
customer service is not great,negative,negation_aug
the staff is not great,negative,negation_aug
wifi is not great,negative,negation_aug
the wifi is not great,negative,negation_aug
staff service is not nice,negative,negation_aug
room service is not nice,negative,negation_aug
hotel service is not nice,negative,negation_aug
the service is not clean,negative,negation_aug
staff is not clean,negative,negation_aug
the staff is not clean,negative,negation_aug
room is not clean,negative,negation_aug
the room is not clean,negative,negation_aug
wifi is not clean,negative,negation_aug
the wifi is not clean,negative,negation_aug
hotel service is not helpful,negative,negation_aug
customer service is not helpful,negative,negation_aug
room is not helpful,negative,negation_aug
wifi is not helpful,negative,negation_aug
staff is not friendly,negative,negation_aug
the staff is not friendly,negative,negation_aug
room is not friendly,negative,negation_aug
the room is not friendly,negative,negation_aug
wifi is not friendly,negative,negation_aug
staff service is not comfortable,negative,negation_aug
staff is not comfortable,negative,negation_aug
the staff is not comfortable,negative,negation_aug
the room is not comfortable,negative,negation_aug
staff service is not excellent,negative,negation_aug
customer service is not excellent,negative,negation_aug
the service is not excellent,negative,negation_aug
staff is not excellent,negative,negation_aug
wifi is not excellent,negative,negation_aug
customer service is not amazing,negative,negation_aug
room is not amazing,negative,negation_aug
wifi is not amazing,negative,negation_aug
hotel service is not perfect,negative,negation_aug
the service is not perfect,negative,negation_aug
room is not perfect,negative,negation_aug
the wifi is not perfect,negative,negation_aug
customer service is not worth it,negative,negation_aug
the service is not worth it,negative,negation_aug
staff is not worth it,negative,negation_aug
wifi is not worth it,negative,negation_aug
the wifi is not worth it,negative,negation_aug
room service is not satisfactory,negative,negation_aug
customer service is not satisfactory,negative,negation_aug
the staff is not satisfactory,negative,negation_aug
wifi is not satisfactory,negative,negation_aug
staff service is not pleasant,negative,negation_aug
customer service is not pleasant,negative,negation_aug
the service is not pleasant,negative,negation_aug
wifi is not pleasant,negative,negation_aug
the wifi is not pleasant,negative,negation_aug
service is not fine,negative,negation_aug
room service is not fine,negative,negation_aug
hotel service is not fine,negative,negation_aug
customer service is not fine,negative,negation_aug
staff is not fine,negative,negation_aug
the room is not fine,negative,negation_aug
wifi is not fine,negative,negation_aug
service is not okay,negative,negation_aug
staff service is not okay,negative,negation_aug
the staff is not okay,negative,negation_aug
room is not okay,negative,negation_aug
service is not too good,negative,negation_aug
staff service is not too good,negative,negation_aug
room service is not too good,negative,negation_aug
hotel service is not too good,negative,negation_aug
customer service is not too good,negative,negation_aug
the service is not too good,negative,negation_aug
staff is not too good,negative,negation_aug
the staff is not too good,negative,negation_aug
room is not too good,negative,negation_aug
the room is not too good,negative,negation_aug
wifi is not too good,negative,negation_aug
the wifi is not too good,negative,negation_aug
service is not too great,negative,negation_aug
staff service is not too great,negative,negation_aug
room service is not too great,negative,negation_aug
hotel service is not too great,negative,negation_aug
customer service is not too great,negative,negation_aug
the service is not too great,negative,negation_aug
staff is not too great,negative,negation_aug
the staff is not too great,negative,negation_aug
room is not too great,negative,negation_aug
the room is not too great,negative,negation_aug
wifi is not too great,negative,negation_aug
the wifi is not too great,negative,negation_aug
service is not too nice,negative,negation_aug
staff service is not too nice,negative,negation_aug
room service is not too nice,negative,negation_aug
hotel service is not too nice,negative,negation_aug
customer service is not too nice,negative,negation_aug
the service is not too nice,negative,negation_aug
staff is not too nice,negative,negation_aug
the staff is not too nice,negative,negation_aug
room is not too nice,negative,negation_aug
the room is not too nice,negative,negation_aug
wifi is not too nice,negative,negation_aug
the wifi is not too nice,negative,negation_aug
service is not too clean,negative,negation_aug
staff service is not too clean,negative,negation_aug
room service is not too clean,negative,negation_aug
hotel service is not too clean,negative,negation_aug
customer service is not too clean,negative,negation_aug
the service is not too clean,negative,negation_aug
staff is not too clean,negative,negation_aug
the staff is not too clean,negative,negation_aug
room is not too clean,negative,negation_aug
the room is not too clean,negative,negation_aug
wifi is not too clean,negative,negation_aug
the wifi is not too clean,negative,negation_aug
service is not too helpful,negative,negation_aug
staff service is not too helpful,negative,negation_aug
room service is not too helpful,negative,negation_aug
hotel service is not too helpful,negative,negation_aug
customer service is not too helpful,negative,negation_aug
the service is not too helpful,negative,negation_aug
staff is not too helpful,negative,negation_aug
the staff is not too helpful,negative,negation_aug
room is not too helpful,negative,negation_aug
the room is not too helpful,negative,negation_aug
wifi is not too helpful,negative,negation_aug
the wifi is not too helpful,negative,negation_aug
service is not too friendly,negative,negation_aug
staff service is not too friendly,negative,negation_aug
room service is not too friendly,negative,negation_aug
hotel service is not too friendly,negative,negation_aug
customer service is not too friendly,negative,negation_aug
the service is not too friendly,negative,negation_aug
staff is not too friendly,negative,negation_aug
the staff is not too friendly,negative,negation_aug
room is not too friendly,negative,negation_aug
the room is not too friendly,negative,negation_aug
wifi is not too friendly,negative,negation_aug
the wifi is not too friendly,negative,negation_aug
